"Story","Title","Result","Date","Stability","Duration (s)"
"Lookup a definition","Looking up the definition of 'apple'","SUCCESS","2016-02-03T05:09:11.503Z","0.0","16.48"
"Lookup a definition","Looking up the definition of 'pear'","SUCCESS","2016-02-03T05:09:28.130Z","0.0","4.99"
